"groupId","artifactId","version","scope","lastUpdatedDate"
"io.quarkus","quarkus-arc","2.16.3.Final","compile","2025-05-22 13:40:47"
"io.quarkus.arc","arc","2.16.3.Final","compile","2025-05-22 13:40:29"
"jakarta.enterprise","jakarta.enterprise.cdi-api","2.0.2","compile","2025-03-20 09:53:37"
"jakarta.el","jakarta.el-api","3.0.3","compile","2024-07-19 08:38:17"
"jakarta.interceptor","jakarta.interceptor-api","1.2.5","compile","2024-04-12 06:55:00"
"jakarta.annotation","jakarta.annotation-api","1.3.5","compile","2024-04-07 17:27:45"
"jakarta.transaction","jakarta.transaction-api","1.3.3","compile","2022-03-31 10:57:58"
"io.smallrye.reactive","mutiny","1.9.0","compile","2025-05-20 15:24:04"
"org.reactivestreams","reactive-streams","1.0.3","compile","2022-05-26 20:21:57"
"io.smallrye.common","smallrye-common-annotation","1.13.2","compile","2025-04-11 14:04:46"
"org.jboss.logging","jboss-logging","3.5.0.Final","compile","2024-09-09 15:38:39"
"io.quarkus","quarkus-core","2.16.3.Final","compile","2025-05-22 13:41:17"
"jakarta.inject","jakarta.inject-api","1.0","compile","2021-10-18 17:19:01"
"io.quarkus","quarkus-ide-launcher","2.16.3.Final","compile","2025-05-22 13:42:27"
"io.quarkus","quarkus-development-mode-spi","2.16.3.Final","compile","2025-05-22 13:41:23"
"io.smallrye.config","smallrye-config","2.13.2","compile","2025-05-21 09:07:33"
"io.smallrye.config","smallrye-config-core","2.13.2","compile","2025-05-21 09:07:31"
"org.eclipse.microprofile.config","microprofile-config-api","2.0.1","compile","2023-10-12 11:25:22"
"io.smallrye.common","smallrye-common-expression","1.13.2","compile","2025-04-11 14:04:46"
"io.smallrye.common","smallrye-common-function","1.13.2","compile","2025-04-11 14:04:46"
"io.smallrye.common","smallrye-common-classloader","1.13.2","compile","2025-04-11 14:04:46"
"io.smallrye.config","smallrye-config-common","2.13.2","compile","2025-05-21 09:07:30"
"org.jboss.logmanager","jboss-logmanager-embedded","1.0.11","compile","2023-07-19 21:03:22"
"org.jboss.logging","jboss-logging-annotations","2.2.1.Final","compile","2025-02-28 02:01:44"
"org.jboss.threads","jboss-threads","3.4.3.Final","compile","2025-04-29 15:20:11"
"org.slf4j","slf4j-api","1.7.36","compile","2025-02-25 16:50:29"
"org.jboss.slf4j","slf4j-jboss-logmanager","1.2.0.Final","compile","2023-02-14 19:21:05"
"org.graalvm.sdk","graal-sdk","22.3.0","compile","2025-04-15 13:00:58"
"org.wildfly.common","wildfly-common","1.5.4.Final-format-001","compile","2024-09-25 13:48:53"
"io.quarkus","quarkus-bootstrap-runner","2.16.3.Final","compile","2025-05-22 13:40:58"
"io.quarkus","quarkus-fs-util","0.0.9","compile","2025-04-15 09:26:38"
"org.eclipse.microprofile.context-propagation","microprofile-context-propagation-api","1.2","compile","2021-12-01 17:46:12"
"io.quarkus","quarkus-resteasy","2.16.3.Final","compile","2025-05-22 13:44:47"
"io.quarkus","quarkus-vertx-http","2.16.3.Final","compile","2025-05-22 13:46:06"
"io.quarkus","quarkus-security-runtime-spi","2.16.3.Final","compile","2025-05-22 13:45:18"
"io.quarkus","quarkus-credentials","2.16.3.Final","compile","2025-05-22 13:41:18"
"io.quarkus","quarkus-mutiny","2.16.3.Final","compile","2025-05-22 13:43:36"
"io.quarkus","quarkus-smallrye-context-propagation","2.16.3.Final","compile","2025-05-22 13:45:21"
"io.smallrye","smallrye-context-propagation","1.2.2","compile","2025-04-14 07:25:13"
"io.smallrye","smallrye-context-propagation-api","1.2.2","compile","2025-04-14 07:25:13"
"io.smallrye","smallrye-context-propagation-storage","1.2.2","compile","2025-04-14 07:25:13"
"io.smallrye.reactive","mutiny-smallrye-context-propagation","1.9.0","compile","2025-05-20 15:24:05"
"io.smallrye.common","smallrye-common-vertx-context","1.13.2","compile","2025-04-11 14:04:46"
"io.vertx","vertx-core","4.3.7","compile","2025-05-16 14:56:16"
"io.netty","netty-common","4.1.86.Final","compile","2025-05-06 14:11:41"
"io.netty","netty-buffer","4.1.86.Final","compile","2025-05-06 14:11:16"
"io.netty","netty-transport","4.1.86.Final","compile","2025-05-06 14:12:11"
"io.netty","netty-handler","4.1.86.Final","compile","2025-05-06 14:11:45"
"io.netty","netty-transport-native-unix-common","4.1.86.Final","compile","2025-05-06 14:12:23"
"io.netty","netty-handler-proxy","4.1.86.Final","compile","2025-05-06 14:11:46"
"io.netty","netty-codec-socks","4.1.86.Final","compile","2025-05-06 14:11:37"
"io.netty","netty-codec-http","4.1.86.Final","compile","2025-05-06 14:11:25"
"io.netty","netty-codec-http2","4.1.86.Final","compile","2025-05-06 14:11:26"
"io.netty","netty-resolver","4.1.86.Final","compile","2025-05-06 14:11:52"
"io.netty","netty-resolver-dns","4.1.86.Final","compile","2025-05-06 14:11:53"
"io.netty","netty-codec-dns","4.1.86.Final","compile","2025-05-06 14:11:22"
"com.fasterxml.jackson.core","jackson-core","2.14.2","compile","2025-05-07 00:15:30"
"io.smallrye.common","smallrye-common-constraint","1.13.2","compile","2025-04-11 14:04:46"
"io.quarkus","quarkus-vertx-http-dev-console-runtime-spi","2.16.3.Final","compile","2025-05-22 13:46:07"
"io.quarkus.security","quarkus-security","1.1.4.Final","compile","2025-03-11 17:18:45"
"io.quarkus","quarkus-vertx","2.16.3.Final","compile","2025-05-22 13:46:03"
"io.quarkus","quarkus-netty","2.16.3.Final","compile","2025-05-22 13:43:41"
"io.netty","netty-codec","4.1.86.Final","compile","2025-05-06 14:11:17"
"com.aayushatharva.brotli4j","brotli4j","1.8.0","compile","2024-12-14 16:20:21"
"com.aayushatharva.brotli4j","native-osx-aarch64","1.8.0","compile","2024-12-14 16:20:28"
"io.netty","netty-codec-haproxy","4.1.86.Final","compile","2025-05-06 14:11:23"
"io.quarkus","quarkus-vertx-latebound-mdc-provider","2.16.3.Final","compile","2025-05-22 13:46:11"
"io.smallrye.reactive","smallrye-mutiny-vertx-core","2.30.1","compile","2025-05-20 16:27:58"
"io.smallrye.reactive","smallrye-mutiny-vertx-runtime","2.30.1","compile","2025-05-20 16:28:01"
"io.smallrye.reactive","vertx-mutiny-generator","2.30.1","compile","2025-05-20 16:28:30"
"io.vertx","vertx-codegen","4.3.7","compile","2025-05-16 14:56:01"
"io.smallrye","smallrye-fault-tolerance-vertx","5.6.0","compile","2025-04-23 07:54:28"
"io.smallrye.reactive","smallrye-mutiny-vertx-web","2.30.1","compile","2025-05-20 16:28:02"
"io.smallrye.reactive","smallrye-mutiny-vertx-web-common","2.30.1","compile","2025-05-20 16:28:16"
"io.smallrye.reactive","smallrye-mutiny-vertx-auth-common","2.30.1","compile","2025-05-20 16:27:43"
"io.smallrye.reactive","smallrye-mutiny-vertx-bridge-common","2.30.1","compile","2025-05-20 16:27:45"
"io.smallrye.reactive","smallrye-mutiny-vertx-uri-template","2.30.1","compile","2025-05-20 16:28:05"
"io.vertx","vertx-uri-template","4.3.7","compile","2025-05-16 14:57:01"
"io.vertx","vertx-web","4.3.7","compile","2025-05-16 14:56:52"
"io.vertx","vertx-web-common","4.3.7","compile","2025-05-16 14:57:06"
